M0_Ftr0_v,M0_Ftr1_v,M0_Ftr2_v,M0_Ftr3_v,M0_Ftr4_v,M1_Ftr5_v,M1_Ftr6_v,M1_Ftr7_v,M2_Ftr8_v,Result
1.38,3609.83,403.95,178.74,334.61,46.61,194.26,402.88,175196.57,Fail
1.61,3405.55,443.48,171.03,349.36,50.39,175.64,416.98,198394.34,Success
1.84,3545.11,332.62,177.02,438.91,54.68,173.91,406.34,206132.76,Fail
1.48,3751.27,408.71,210.86,503.59,56.07,187.97,385.85,196454.21,Fail
1.4,3153.62,449.69,201.89,414.46,48.79,192.84,441.17,187630.2,Success
1.63,3525.77,525.17,207.0,420.15,56.5,186.17,354.22,200102.91,Success
1.62,3322.76,397.62,177.19,318.52,54.29,180.2,351.12,195536.2,Success
1.65,3484.61,369.56,206.24,399.69,54.61,194.89,396.0,205136.49,Success
1.63,3608.35,504.67,168.0,403.7,46.48,206.71,393.09,200771.51,Success
1.63,3291.78,459.23,168.71,378.59,48.75,181.56,470.32,189562.1,Success
1.52,3359.77,441.48,195.43,509.9,44.62,171.97,391.62,176709.1,Fail
1.51,3370.8,452.79,117.47,429.98,50.37,197.59,377.95,218912.5,Fail
1.7,3774.26,413.4,193.24,359.06,55.34,197.69,377.8,199022.32,Success
1.54,3547.81,468.47,195.28,410.19,50.22,214.97,427.28,196282.89,Fail
1.58,3039.2,528.99,122.46,394.58,43.31,198.85,395.82,185225.01,Fail
1.91,3859.0,492.33,175.99,429.56,50.6,173.74,435.4,195287.66,Success
1.55,3412.58,427.78,153.39,412.82,57.32,190.1,491.25,188446.85,Success
1.55,3443.4,470.23,202.13,461.17,49.52,170.97,340.28,212616.42,Success
1.25,3376.26,475.68,189.42,395.39,46.79,179.17,379.0,207710.18,Success
1.55,4085.31,407.38,184.69,422.41,47.9,185.59,313.01,206182.76,Fail
1.92,3160.14,457.53,231.07,400.84,46.29,205.44,325.44,201297.55,Success
1.48,3464.35,371.16,152.02,470.72,46.94,177.85,416.27,182070.96,Success
1.51,3321.78,481.32,154.32,426.05,52.67,197.17,459.18,199160.14,Success
1.46,3696.05,554.19,136.39,373.51,48.75,188.06,345.23,187608.56,Fail
1.56,3488.21,467.18,215.53,373.62,50.66,197.23,389.28,211839.79,Success
